Company Name,Major(s),Category1,Category2,Category3,Category4,Category5,Standing Preference
Cormier Group,PH,4,3,4,3,5,JR
"Vandervort, Crist and Gulgowski",CS,2,1,1,2,3,JR
Heller Group,PH,4,1,5,1,1,JR
Dietrich Group,CPE,3,1,3,4,1,SR
"Howell, Littel and Legros",OE,5,4,3,1,4,JR
Hagenes-Leuschke,CPE,5,5,5,5,5,FR
Bins Inc,AB,3,4,4,2,5,SR
Mohr Inc,CPE,5,2,2,5,4,FR
Champlin Inc,CHEM,,5,5,5,1,JR
Lindgren-Purdy,OE,5,4,5,3,5,SR
Schuster-Haag,EE,4,1,4,2,2,SO
Simonis-Lesch,CHE,3,4,5,2,4,SO
Gusikowski-Luettgen,CHEM,3,4,4,5,1,
"Braun, Stamm and Langworth",AB,5,,4,4,1,FR
Bauch Group,OE,5,3,4,2,4,SR
Morissette Group,CHE,3,4,2,3,2,JR
Hegmann LLC,CHE,5,3,4,3,3,JR
Becker and Sons,SE,3,5,3,2,1,JR
"Hammes, Gulgowski and Harris",CHEM,1,4,3,5,4,SO
Mertz-Fritsch,MA,3,1,4,5,4,JR
"Jones, Aufderhar and Kling",PH,,3,5,4,,SR
Nicolas-Hills,CS,3,1,2,2,2,FR
"Gusikowski, Waelchi and Bashirian",SE,1,3,4,4,4,JR
"Pacocha, Stiedemann and Ondricka",OE,5,1,2,5,1,JR
Hammes-Ratke,CS,1,3,3,5,5,FR
McDermott and Sons,BE,4,5,4,2,4,
Reynolds-Howe,PH,5,3,4,1,3,FR
Hoeger LLC,PH,4,3,3,3,4,SO
Torphy Group,BE,5,,4,2,3,SR
Toy Inc,OE,2,4,1,4,3,FR
